D,gap,s,spy,us_sessions
2024-06-05,0.0071409823328438,-0.0013379219149959,0.0011178985773303562,1.0
2024-06-07,0.0106897192786763,0.0094079818776523,0.011866156290378571,2.0
2024-06-10,-0.0088001710177926,-0.0008412881768616,-0.0012156574487586225,1.0
2024-06-11,0.0057567829043982,0.0035010381329663,0.003089761144422054,1.0
2024-06-12,0.0016004886205573,0.0003913064156429,0.0024083170801936227,1.0
2024-06-13,0.0131993280465743,0.0072801082953141,0.008213005017738695,1.0
2024-06-14,0.0015717790161653,0.0025767003879201,0.002013497275312748,1.0
2024-06-17,-0.0013014130740325,-0.0005978361904791,0.0006083824913212244,1.0
2024-06-18,0.0078713795951079,0.0047500108206766,0.007958926371441244,1.0
2024-06-19,0.0080465392858732,0.0030548229530121,0.0025406958699802917,1.0
2024-06-21,-0.0045446751023386,-0.0059737238187302,-0.002716531314889248,1.0
2024-06-24,-0.0040980052399399,-0.0028609454967581,-0.004552084523537503,1.0
2024-06-25,0.000372560540867,-0.0063591608420595,-0.003250664817000981,1.0
2024-06-26,-0.0025086455786618,0.0038445722136186,0.0038508805193555595,1.0
2024-06-27,-0.0087498186685008,-0.0005296730165588,0.0012480822540090752,1.0
2024-06-28,0.0031357012007706,-0.0007115108104409,0.0015764795075565718,1.0
2024-07-01,-0.0017371050686346,0.0012362429954494,-0.003935107039692687,1.0
2024-07-02,-0.0020183774731522,0.0004035016761272,0.00205809454382333,1.0
2024-07-03,0.0058542265800429,0.0041599899283867,0.006729714910746587,1.0
2024-07-04,0.0082498089654512,0.0042273181067777,0.004462600250361826,1.0
2024-07-08,0.0001223163961803,0.0015465976483387,0.005766497205737409,1.0
2024-07-09,0.0052033316289896,0.0040225911721294,0.0011539280101222626,1.0
2024-07-10,-0.0015100315135531,0.0001020388222032,0.000972442729531453,1.0
2024-07-11,0.0072420125600063,0.0066192776096118,0.009895289711641775,1.0
2024-07-12,-0.0081623106366055,-0.0083010204846734,-0.008622580332635743,1.0
2024-07-15,0.0042526784542351,0.0036995825937292,0.006307522083127459,1.0
2024-07-16,0.0002761486109621,0.0007731782022842,0.002750118911688748,1.0
2024-07-17,-6.635714197489317e-05,0.0024236465239142,0.005930147776526118,1.0
2024-07-18,-0.0132417537314586,-0.0170293784515931,-0.014021143496696697,1.0
2024-07-19,-0.0085471474442146,-0.0009365808842109,-0.007684901925006371,1.0
2024-07-22,-0.0015990108123837,-0.0074453703715119,-0.0066405802636198,1.0
2024-07-23,0.0091622857416473,0.0103516128305272,0.01030990415193389,1.0
2024-07-24,-0.0067729180431508,-0.0032945397302023,-0.0015685478750434578,1.0
2024-07-25,-0.0135642827281065,-0.0151686154886516,-0.022662516096977336,1.0
2024-07-26,0.005290276652188,-0.0055006403594447,-0.005210367913795921,1.0
2024-07-29,0.0060105298885724,0.0065329630533776,0.011199698366761712,1.0
2024-07-30,-0.0076405342662279,-0.0003009793472742,0.0005877733502015481,1.0
2024-07-31,0.0026989131056973,-0.0082744215098351,-0.005066469116946526,1.0
2024-08-01,0.0059840972738309,0.0166700919128993,0.01625460804168588,1.0
2024-08-02,-0.0209851532563261,-0.0172429336548904,-0.014160940846283387,1.0
2024-08-05,-0.0242471177303758,-0.0143545781223443,-0.01861841433811906,1.0
2024-08-06,0.0375949856553448,-0.0093545437681954,-0.0291236982927795,1.0
2024-08-07,-0.0027277850559582,0.0036552899210464,0.00921956682947278,1.0
2024-08-08,-0.0148729963203195,-0.0069075384513785,-0.0066840009697359815,1.0
2024-08-09,0.0181286635703907,0.0184224596196008,0.023117363765007726,1.0
2024-08-12,0.0053043662881953,-0.0003009470114703,0.004409621620005133,1.0
2024-08-13,0.0023679299760352,0.0012572188042483,0.000525393163109511,1.0
2024-08-14,0.0105321790661359,0.0114111848958645,0.016445624495827982,1.0
2024-08-16,0.019281524006192,0.0131562256534539,0.020349106604676592,2.0
2024-08-19,0.0002743519239121,2.547367397298661e-05,0.0022420131591913695,1.0
2024-08-20,0.0094900768008263,0.0053115027828835,0.009561414761256382,1.0
2024-08-21,-0.0034969321154262,-0.0029702250398819,-0.0016260845380726696,1.0
2024-08-22,0.0036355409718951,0.0035228936465594,0.003436518468241667,1.0
2024-08-23,-0.0062304023509605,-0.0084023614533796,-0.007848497114596786,1.0
2024-08-26,0.0056223851499197,0.0074836245109857,0.010625354160183287,1.0
2024-08-27,-0.0006560463174128,-0.0054984057345072,-0.002383837980234005,1.0
2024-08-28,0.0004983128718509,0.002489715859133,0.0013730978823098816,1.0
2024-08-29,-0.012138367679766,-0.0047689740751573,-0.005805274200081922,1.0
2024-08-30,0.0054239002837217,-0.0005575633415287,8.953572284031708e-05,1.0
2024-09-02,0.003548575156377,0.0071389471315761,0.009546014727143781,1.0
2024-09-04,-0.0280301372764818,-0.0193792779729499,-0.020579008899841544,1.0
2024-09-05,0.0068041143294783,0.0002463721277424,-0.0020468135919301522,1.0
2024-09-06,0.0004503638553192,-0.0015601994185185,-0.0024322113182296823,1.0
2024-09-09,-0.0179265280930887,-0.0119274034578545,-0.01683011634892906,1.0
2024-09-10,0.0026656926444539,0.0061915939469808,0.011196217256969065,1.0
2024-09-11,0.0005667586657815,0.002977304418066,0.0043557127427886755,1.0
2024-09-12,0.0233630416394197,0.0113404014618241,0.010258942597767273,1.0
2024-09-13,-0.0001088722740285,0.0008024791470261,0.008423296578884854,1.0
2024-09-19,0.0074784249587089,-0.0002881197914647,0.004131709470093892,4.0
2024-09-20,0.0089236007676505,0.0119284089304685,0.01706440263283948,1.0
2024-09-23,0.0011952993115331,-0.0038814892280295,-0.004781219240837187,1.0
2024-09-24,0.0040122602784262,0.001277701426265,0.0024988700574681832,1.0
2024-09-25,0.0079911044819818,0.0029949949413402,0.0028613143253319873,1.0
2024-09-26,0.0133226423704599,0.0004477557158098,-0.0022055133774685487,1.0
2024-09-27,0.0011266819467974,0.0079423482832868,0.003964651345061521,1.0
2024-09-30,0.005834431827008,-0.0034622500096368,-0.0014503182029491635,1.0
2024-10-02,-0.0103035821576168,-0.0083465579780085,-0.0049870959666191705,2.0
2024-10-04,0.0007846420962724,0.0031362822472829,-0.0014068935314240916,2.0
2024-10-07,0.0036930199822677,0.0045547858597095,0.009087339434985742,1.0
2024-10-08,-0.0067921073808028,-0.0023533584685472,-0.009040442689714157,1.0
2024-10-10,0.0066643774210113,0.0073688736590132,0.016449501684163925,2.0
2024-10-11,0.0049477938475275,-0.001753359510929,-0.0017500255397128184,1.0
2024-10-14,0.002202606519561,0.0028764571991483,0.005988252959907792,1.0
2024-10-15,0.0034613321400958,0.0053220616606808,0.008178318945803564,1.0
